directory,size_bytes,size_human,classification,n_references,has_small_summary,reason
outputs/phase_b_verification,2159,2.1K,SUMMARIZE_THEN_DELETE,0,True,Small (2.1K) generated output; has summary artifacts; extract summaries then delete.
outputs/b9_subprocess_smoke,2004,2.0K,SUMMARIZE_THEN_DELETE,0,True,Small (2.0K) generated output; has summary artifacts; extract summaries then delete.
outputs/step_e_boundary_height_hold_0p300_0p480,1894,1.8K,SUMMARIZE_THEN_DELETE,1,True,Small (1.8K) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/phase_b9_step5_19_controller_authority_reallocation,1725,1.7K,SUMMARIZE_THEN_DELETE,3,False,Small (1.7K) generated output; referenced by 3 kept file(s); extract summaries then delete.
outputs/prior_eval,1641,1.6K,SUMMARIZE_THEN_DELETE,0,True,Small (1.6K) generated output; has summary artifacts; extract summaries then delete.
outputs/phase_b9_task6_true_manifold,1392,1.4K,SUMMARIZE_THEN_DELETE,1,True,Small (1.4K) generated output; has summary artifacts; referenced by 1 kept file(s); extract summaries then delete.
outputs/classical_prior_eval_test,812,812.0B,SUMMARIZE_THEN_DELETE,0,True,Small (812.0B) generated output; has summary artifacts; extract summaries then delete.
outputs/balance_core_height_recovery,0,0.0B,DELETE_DIRECT,0,False,Empty directory.
outputs/hip_yaw_hy2_div_evaluation,0,0.0B,DELETE_DIRECT,0,False,Empty directory.
outputs/hip_yaw_sign_fix_smoke,0,0.0B,DELETE_DIRECT,0,False,Empty directory.
outputs/stage2d_sysid,0,0.0B,DELETE_DIRECT,3,False,Empty directory.
outputs/telemetry,0,0.0B,DELETE_DIRECT,1,False,Empty directory.
